timestamp,deplacement,ensoleillement,temperature,modele_environnement,deplacement_decorrele
2020-03-14 00:01:22,1.3,0.0,8.381905942777777,1.262846486874135,0.03715351312586512
2020-03-14 00:18:05,0.5,0.0,8.388235151388889,1.2617232553462285,-0.7617232553462285
2020-03-14 00:35:17,1.8,0.0,8.397226738333334,1.2601275370562386,0.5398724629437615
2020-03-14 01:09:27,1.7,0.0,8.426196655,1.2549863060177016,0.4450136939822984
2020-03-14 01:26:24,1.7,0.0,8.44056856,1.2524357538390711,0.4475642461609288
2020-03-14 01:43:18,1.8,0.0,8.463093308333333,1.2484383334598883,0.5515616665401117
2020-03-14 02:00:09,1.7,0.0,8.4877631125,1.2440602344699718,0.45593976553002813
2020-03-14 02:16:58,1.9,0.0,8.512384113888888,1.2396907964078296,0.6603092035921703
2020-03-14 02:33:50,1.7,0.0,8.503085725,1.2413409622027125,0.45865903779728745
2020-03-14 02:50:41,1.9,0.0,8.3783359075,1.2634800536320228,0.6365199463679772
2020-03-14 03:07:31,2.0,0.0,8.2537094825,1.285597246850226,0.7144027531497741
2020-03-14 03:41:28,2.0,0.0,8.03165419111111,1.325004938957036,0.674995061042964
2020-03-14 03:58:27,2.2,0.0,7.949306536666667,1.3396190064344076,0.8603809935655926
2020-03-14 04:15:19,2.0,0.0,7.867524567777777,1.3541326828692457,0.6458673171307543
2020-03-14 04:32:15,1.9,0.0,7.793015274999999,1.3673556925553358,0.5326443074446641
2020-03-14 04:49:08,1.7,0.0,7.768150064444444,1.3717684699118917,0.32823153008810824
2020-03-14 05:06:07,2.1,0.0,7.743137577222222,1.3762073841530869,0.7237926158469132
2020-03-14 05:23:07,1.9,0.0,7.718100543888889,1.3806506545417216,0.5193493454582783
2020-03-14 05:40:00,1.9,0.0,7.649015333333334,1.3929110636032627,0.5070889363967372
2020-03-14 05:56:59,1.9,0.0,7.548902546111112,1.4106778723567572,0.4893221276432427
2020-03-14 06:14:00,1.9,0.0,7.448593266666667,1.4284795521774813,0.47152044782251856
2020-03-14 06:30:56,1.7,0.0,7.347569600000001,1.4464080128171732,0.2535919871828267
2020-03-14 06:47:58,1.9,0.0,7.225159550000001,1.4681318705600228,0.4318681294399771
2020-03-14 07:05:04,1.8,0.0,7.1022704,1.489940753186406,0.3100592468135941
2020-03-14 07:22:09,1.8,0.0,6.979501025,1.5117283795919056,0.2882716204080944
2020-03-14 07:39:09,2.1,0.0,6.9203021975,1.5222342727530758,0.5777657272469243
2020-03-14 07:56:07,1.7,0.0,6.915138392499999,1.5231506825187104,0.17684931748128951
2020-03-14 08:13:26,1.9,0.0,6.909868065,1.5240859966115339,0.37591400338846603
2020-03-14 08:30:43,1.9,0.0,6.904826250833334,1.524980756916938,0.3750192430830619
2020-03-14 08:47:40,2.3,0.0,6.904832183333333,1.5249797040884647,0.7750202959115351
2020-03-14 09:04:32,1.5,0.0,6.9048380866666665,1.5249786564361394,-0.02497865643613939
2020-03-14 09:21:19,1.7,0.0,6.904843960833333,1.5249776139599618,0.17502238604003817
2020-03-14 09:38:30,0.1,3.78637175,6.918347691666667,1.503909874516817,-1.4039098745168168
2020-03-14 09:55:48,-0.3,11.492751899999998,6.94582557,1.461031926101321,-1.761031926101321
2020-03-14 10:13:06,1.7,19.19913205,6.973303448333334,1.418153977685825,0.281846022314175
2020-03-14 10:30:08,1.3,26.8707174,7.001182480000001,1.3753764166552997,-0.0753764166552997
2020-03-14 10:47:15,1.4,45.278074875,7.134240600000001,1.260992973724888,0.13900702627511197
2020-03-14 11:04:27,-0.8,63.775049475,7.267946520000001,1.146052649378067,-1.946052649378067
2020-03-14 11:21:17,0.1,81.877708725,7.39880212,1.0335626032634462,-0.9335626032634462
2020-03-14 11:38:16,0.0,107.39751262222222,7.592176204444444,0.8734022958022674,-0.8734022958022674
2020-03-14 11:55:19,-1.0,140.69833365555556,7.851255501111111,0.6632118662361264,-1.6632118662361264
2020-03-14 12:29:23,-1.2,207.2348714777778,8.368907585555556,0.24324193658491255,-1.4432419365849125
2020-03-14 12:46:03,0.6,271.53738725,9.06740936,-0.19780665967117406,0.797806659671174
2020-03-14 13:03:24,-0.4,339.746223,9.812358213333331,-0.6663608686965565,0.2663608686965565
2020-03-14 13:36:55,-0.7,451.5823501388889,11.082942472222223,-1.4433322958893386,0.7433322958893387
2020-03-14 13:53:39,-0.7,469.1519875833333,11.393752983333334,-1.585130143314978,0.8851301433149781
2020-03-14 14:10:24,-0.2,486.7391246666666,11.704873066666666,-1.7270692236563798,1.5270692236563799
2020-03-14 14:27:20,-1.4,504.51875777777775,12.019398444444445,-1.8705618660711707,0.4705618660711708
2020-03-14 14:44:32,-1.4,518.3701857777778,11.997697288888888,-1.9350144174114732,0.5350144174114733
2020-03-14 15:00:57,-1.6,530.8538021666667,11.917233733333331,-1.9822936095513972,0.38229360955139713
2020-03-14 15:18:00,-2.0,543.81902,11.833666,-2.0313967705251468,0.03139677052514678
2020-03-14 15:35:05,-2.0,535.4208333333333,11.737016444444444,-1.9728316492405158,-0.027168350759484206
2020-03-14 16:27:41,-1.0,354.09811333333334,11.345532177777775,-1.0092217505434213,0.009221750543421336
2020-03-14 16:44:42,-1.1,342.39839,11.4020252,-0.9615540711107431,-0.138445928889257
2020-03-14 17:01:14,-1.9,338.22151888888885,11.4849564,-0.955674818329562,-0.9443251816704379
2020-03-14 17:18:26,-0.8,333.87622555555555,11.5712316,-0.9495584989039787,0.14955849890397865
2020-03-14 17:35:17,-0.5,331.7567616111111,11.582353372222222,-0.9410808099146526,0.4410808099146526
